"uri","label"
NULL,"carbon cycle"
NULL,"perspective"
NULL,"horizon 2020"
NULL,"anzsrc::410603 soil biology"
NULL,"anzsrc::300801 field organic and low chemical input horticulture"
NULL,"anzsrc::410605 soil physics"
NULL,"anzsrc::410604 soil chemistry and soil carbon sequestration (excl. carbon sequestration science)"
NULL,"anzsrc::300101 agricultural biotechnology diagnostics (incl. biosensors)"
NULL,"perennial crops"
NULL,"transparency"
NULL,"national greenhouse gas inventories"
NULL,"[sde.es] environmental sciences/environment and society"
NULL,"[sde.es]environmental sciences/environment and society"
NULL,"[shs.eco]humanities and social sciences/economics and finance"
NULL,"[shs.eco] humanities and social sciences/economics and finance"
NULL,"soil organic carbon,baseline,local geostatistics,spatial uncertainty,tuscany"
NULL,"gas diffusivity"
NULL,"hotspots"
NULL,"hot moments"
NULL,"séries satellitaires sentinel"
"http://aims.fao.org/aos/agrovoc/c_32389",NULL
NULL,"solanum melongena"
NULL,"bare soil"
NULL,"sentinel time series"
NULL,"sol nu"
NULL,"terres agricoles"
NULL,"cartographie numérique des sols"
NULL,"ploughing"
NULL,"microbial carbon use efficiency"
NULL,"crop diversification"
NULL,"energylink"
NULL,"cue"
NULL,"temperate climate"
NULL,"shallow incorporation"
NULL,"regenerative agriculture"
NULL,"management scenarios"
NULL,"rothc model"
NULL,"climate scenarios"
NULL,"conservation of natural resources"
NULL,"scenario-based"
NULL,"soil ecosystem services, soil threats, indicators, scenario-based, agroecosystems"
NULL,"agroecosystems"
NULL,"tracers"
NULL,"herbicides"
NULL,"radio frequency identification (rfid)"
NULL,"comparative study"
NULL,"fate and transport"
NULL,"ddc:910"
NULL,"plastic debris"
NULL,"dehydrogenase activity"
NULL,"biofertilizers"
NULL,"traceability"
NULL,"pgp bacteria"
NULL,"whole-genome sequencing"
NULL,"microbial consortia"
NULL,"risk assessment"
NULL,"herbicide"
NULL,"sampling"
NULL,"sentinel2"
NULL,"satellite imagery"
NULL,"spectral models"
NULL,"polymethyl methacrylate"
NULL,"granular flow"
NULL,"plastic pollution"
NULL,"biopores"
NULL,"colloids"
NULL,"preferential flow"
NULL,"mbc"
NULL,"synthesis"
NULL,"maoc"
NULL,"poc"
NULL,"plfas"
NULL,"hungary"
NULL,"data harmonization"
NULL,"internal soil standard"
NULL,"spectral alignment"
NULL,"crop diversificiation"
NULL,"slovakia"
NULL,"soil-based ecosystem service"
NULL,"soil erosion control"
NULL,"electromagnetic generators"
NULL,"residue restitution"
NULL,"agriculture & agronomie"
NULL,"agriculture & agronomy"
NULL,"environmental technology. sanitary engineering"
NULL,"pollution"
NULL,"water-stable aggregates"
NULL,"td1-1066"
NULL,"landwirtschaft"
NULL,"export module"
NULL,"x-ray ct"
NULL,"crop rotation"
NULL,"biological activity"
NULL,"tillage regime"
NULL,"micro-habitat"
NULL,"calorimetry"
NULL,"rock-eval® analysis"
NULL,"cropland"
NULL,"forest"
NULL,"mid-infrared spectroscopy"
NULL,"agroecological practices"
NULL,"soil-based agroecological measures"
NULL,"vis-nir"
NULL,"spectroscopy, near-infrared"
NULL,"svm"
NULL,"pls-svm classifier"
NULL,"soot"
NULL,"black carbon; soil organic carbon; vis-nir; svm; pls-svm classifier"
NULL,"bodenbearbeitung"
NULL,"agricultural soil databases"
NULL,"ejp soil programme"
NULL,"soil parameters"
NULL,"indicator"
NULL,"data"
NULL,"harmonization"
NULL,"agricultural soil database"
NULL,"agrarpolitik"
NULL,"naizin watershed"
NULL,"sentinel 1"
NULL,"c-band"
NULL,"roughness"
NULL,"moisture"
NULL,"aras de los olmos"
NULL,"sostenibilidad"
NULL,"divulgación científica"
NULL,"paleontología"
NULL,"dinosaurios"
NULL,"geodiversidad"
NULL,"desarrollo rural"
NULL,"museología científica"
NULL,"agroecological systems"
NULL,"agrarian landscape characterization"
NULL,"farmers ecological identity"
NULL,"common agricultural policy"
NULL,"carbon balance"
NULL,"agroecosystems management"
NULL,"c:n:p stoichiometry"
NULL,"long-term field experiments"
NULL,"[shs.geo] humanities and social sciences/geography"
NULL,"[shs.geo]humanities and social sciences/geography"
NULL,"local scale"
NULL,"time-series"
NULL,"temporal mosaics"
NULL,"photosynthesis"
NULL,"rewetting"
NULL,"arctic regions"
NULL,"norway"
NULL,"carbon dioxide"
NULL,"greenhouse gas"
NULL,"hybrid nanogenerator"
NULL,"optical remote sensing"
NULL,"r"
NULL,"synthetic aperture radar"
NULL,"sentinel"
NULL,"google earth engine"
NULL,"mechanical energy harvesting"
NULL,"soilpro®"
NULL,"spectral harmonization"
NULL,"standard and protocol"
NULL,"roth-c model"
NULL,"soc simulation"
NULL,"2018"
NULL,"d3.3"
NULL,"x-ray absorption spectroscopy"
NULL,"transistors, electronic"
NULL,"[chim.anal] chemical sciences/analytical chemistry"
"http://aims.fao.org/aos/agrovoc/c_28566",NULL
"http://aims.fao.org/aos/agrovoc/c_2219",NULL
NULL,"speciation"
NULL,"[sdv.bv.bot] life sciences [q-bio]/vegetal biology/botanics"
NULL,"détoxification"
NULL,"[sdu.stu.gc] sciences of the universe [physics]/earth sciences/geochemistry"
"http://aims.fao.org/aos/agrovoc/c_5383",NULL
NULL,"solanaceae"
NULL,"solanum nigrum"
NULL,"thiol"
NULL,"[sdv.bv.bot]life sciences [q-bio]/vegetal biology/botanics"
"http://aims.fao.org/aos/agrovoc/c_7731",NULL
NULL,"bioaccumulation"
NULL,"acide organique"
"http://aims.fao.org/aos/agrovoc/c_7218",NULL
"http://aims.fao.org/aos/agrovoc/c_32250",NULL
NULL,"spectroscopie aux rayons x"
NULL,"h50 - troubles divers des plantes"
NULL,"p02 - pollution"
NULL,"field-effect transistor"
NULL,"fos: computer and information sciences"
NULL,"computer science - machine learning"
NULL,"statistics - machine learning"
NULL,"machine learning (stat.ml)"
NULL,"machine learning (cs.lg)"
NULL,"adp-ribosylation ; adp-ribosyl transferase ; adp-ribosyl hydrolase ; parp ; parg ; macrodomain ; toxin-antitoxin system"
NULL,"adp-ribosyl transferase"
NULL,"toxin-antitoxin system"
NULL,"review article"
NULL,"adp-ribosyl hydrolase"
NULL,"parp, parg"
NULL,"parp"
NULL,"parg"
NULL,"tp248.13-248.65"
NULL,"adp-ribosylation"
NULL,"macrodomain"
NULL,"biotechnology"
NULL,"heart failure"
NULL,"stakeholders’ perception"
NULL,"12. garantizar modalidades de consumo y producción sostenibles"
NULL,"sustainable farming"
NULL,"edafología y química agrícola"
NULL,"multicriteria decision method (mcdm)"
NULL,"2. poner fin al hambre, lograr la seguridad alimentaria y la mejora de la nutrición y promover la agricultura sostenible"
NULL,"stakeholders' perception"
NULL,"25 ciencias de la tierra y del espacio::2511 ciencias del suelo (edafología)"
NULL,"point-of-care diagnostic"
NULL,"general characteristics"
NULL,"wheat"
NULL,"organic"
NULL,"conventional"
NULL,"peptide fragments"
NULL,"ecological groups"
NULL,"natriuretic peptide, brain"
NULL,"aiandus"
NULL,"mullateadus"
NULL,"taimekasvatus"
NULL,"põllukultuurid"
NULL,"maaviljelus"
NULL,"artiklikogumikud"
NULL,"taimekaitse"
NULL,"wine"
NULL,"agar"
NULL,"ammonia"
NULL,"research letter"
NULL,"archaea"
NULL,"phylogeny"
NULL,"culture media"
NULL,"salinity"
NULL,"indoleacetic acids"
NULL,"arabidopsis proteins"
NULL,"gene expression regulation, plant"
NULL,"ochratoxins"
NULL,"abiotic stress"
NULL,"auxin transport"
NULL,"mathematical modeling"
NULL,"biological transport"
NULL,"iaa homeostasis"
NULL,"models, theoretical"
NULL,"plant growth regulators"
NULL,"root phenotypic plasticity"
NULL,"stress, physiological"
NULL,"auxin"
NULL,"plant physiological phenomena"
NULL,"signal transduction"
NULL,"beekeeping"
NULL,"ndc 2 - dim newyn"
NULL,"pathogen elicitors"
NULL,"salt stress"
NULL,"cell wall sensing"
NULL,"plant immune responses"
NULL,"damage-associated molecular patterns (damps)"
NULL,"perception"
NULL,"danger signals"
NULL,"harvest dates"
NULL,"plant biology"
NULL,"plant genetics"
NULL,"plant physiology"
NULL,"sar"
NULL,"protein serine-threonine kinases"
NULL,"hyperosmotic stress"
NULL,"rna, messenger"
NULL,"triticum-aestivum l."
NULL,"phosphorylation"
NULL,"different phosphorylation mechanisms"
NULL,"plant proteins"
NULL,"biology and life sciences"
NULL,"abscisic-acid"
NULL,"gene"
NULL,"family"
NULL,"osmotic stresses"
NULL,"exoribonucleases"
NULL,"decay"
NULL,"protein kinases"
NULL,"8 decent work and economic growth"
NULL,"16. peace & justice"
NULL,"0507 social and economic geography"
NULL,"10. no inequality"
NULL,"6. clean water"
NULL,"3. good health"
NULL,"0302 clinical medicine"
NULL,"0202 electrical engineering, electronic engineering, information engineering"
NULL,"0105 earth and related environmental sciences"
"http://publications.europa.eu/resource/authority/data-theme/GOVE",NULL
"http://publications.europa.eu/resource/authority/data-theme/ECON",NULL
NULL,"opendata"
NULL,"inspireidentifiziert"
NULL,"rndt"
NULL,"on-chip"
NULL,"inspireidentifiziert"
NULL,"depthinterval"
NULL,"soillayer"
NULL,"bodenkunde"
NULL,"bboxbebb"
NULL,"kf-wert"
NULL,"interoperability"
NULL,"process"
NULL,"transistor"
NULL,"langzeitversuch"
NULL,"landwirtschaft"
NULL,"düngung"
NULL,"agriculture"
NULL,"field experimentation"
NULL,"fertilization"
NULL,"dauerfeldversuch"
NULL,"dauerversuch"
NULL,"langzeitfeldversuch"
NULL,"langzeitversuch"
NULL,"dauerdüngungversuch"
NULL,"langzeitdüngungsversuch"
NULL,"dfv"
NULL,"ddv"
NULL,"dv"
NULL,"long-term field experiment"
NULL,"long-term experiment"
NULL,"long-term trial"
NULL,"long-term field trial"
NULL,"long-term fertilizer experiment"
NULL,"long-term soil experiment"
NULL,"ltfe"
NULL,"lte"
NULL,"ltse"
NULL,"carte-tematiche"
NULL,"infofeatureaccessservice"
NULL,"open-data"
NULL,"informazioni-geoscientifiche"
NULL,"ochratoxin a"
NULL,"94a24, 94b25, 94b50, 68p30, 68r05"
NULL,"duplication error"
NULL,"ambiente"
NULL,"humangeographicviewer"
NULL,"reliable communication"
NULL,"dbgt"
NULL,"zero-error code"
NULL,"azide modification"
NULL,"wheat"
NULL,"crop rotation"
NULL,"multispectral imagery"
NULL,"bodennutzung"
NULL,"bauleitplanung"
NULL,"bebauungsplan"
NULL,"plannedlanduse"
NULL,"infralocal"
NULL,"brassica napus"
NULL,"air conductivity"
NULL,"trifolium pretense"
NULL,"raphanus sativus var. oleiformis"
NULL,"festuca arundinacea"
NULL,"da"
"http://publications.europa.eu/resource/authority/data-theme/REGI",NULL
NULL,"miljø"
NULL,"graphene biosensor; heart failure; field-effect transistor; point-of-care diagnostic; aptamer; azide modification; photochemistry"
NULL,"et"
"http://publications.europa.eu/resource/authority/data-theme/SOCI",NULL
"http://publications.europa.eu/resource/authority/data-theme/TRAN",NULL
NULL,"tavola-07,-capacità-d'uso-delle-terre"
NULL,"piano-paesaggistico-della-collina-di-pinerolo,-piani-paesistici,-paesaggistici"
NULL,"graphene biosensor"
NULL,"molecular docking simulation"
NULL,"tavola-12,-unità-di-terre"
NULL,"binding sites"
NULL,"tavola-14,-emergenze-paesaggistiche"
NULL,"human fibrinogen"
NULL,"tavola-04,-esposizione-dei-versanti"
NULL,"molecular docking"
NULL,"fibrinogen"
NULL,"protein binding"
NULL,"usi-civici"
NULL,"thermalcollectorswiltingpointfederalmethod"
NULL,"soilbody"
NULL,"oberboden"
NULL,"om_observation"
NULL,"thermalcollectorsfieldcapacityfederalmethod"
NULL,"erdwärmekollektor"
NULL,"derivedsoilprofile"
NULL,"bodenschutz"
NULL,"wms"
NULL,"soilderivedobject"
NULL,"wrbreferencesoilgroupvalue"
NULL,"infomapaccessservice"
NULL,"brandenburg"
NULL,"thermalcollectorsfieldcapacitystatemethod"
NULL,"thermalcollectorswiltingpointstatemethod"
NULL,"fieldcapacity"
NULL,"wasserretention"
NULL,"effektiver-wurzelraum"
NULL,"phenotype"
NULL,"arabidopsis thaliana"
NULL,"trade-off"
NULL,"sorptionstrengthcobalt"
NULL,"salt-tolerant plants"
NULL,"salt tolerance"
NULL,"ionic stress"
NULL,"aba"
NULL,"developmental plasticity"
NULL,"osmotic stress"
NULL,"ph-wert"
NULL,"expression"
NULL,"meristem"
NULL,"cyclopentanes"
NULL,"catalase2-deficient <i>arabidopsis</i>"
NULL,"activation"
NULL,"catalase2-deficient arabidopsis"
NULL,"hydrogen-peroxide"
NULL,"hydroponics"
NULL,"multienzyme complexes"
NULL,"plant cells"
NULL,"salicylic-acid biosynthesis"
NULL,"h<sub>2</sub>o<sub>2</sub> signaling"
NULL,"medicine and health sciences"
NULL,"abnormal inflorescence meristem 1"
NULL,"leaf senescence"
NULL,"oxylipins"
NULL,"qh573-671"
NULL,"cell death"
NULL,"gene expression profiling"
NULL,"computational biology"
NULL,"hydrogen peroxide"
NULL,"multifunctional protein"
NULL,"peroxisomal beta-oxidation"
NULL,"plant leaves"
NULL,"chemical genetics"
NULL,"cell-death"
NULL,"phenylalanine ammonia-lyase"
NULL,"cytology"
NULL,"salicylic acid"
NULL,"h2o2 signaling"
NULL,"schwermetall"
NULL,"stomatal closure"
NULL,"mobile signals"
NULL,"root vasculature plasticity"
NULL,"shoot–root communication"
NULL,"plant shoots"
NULL,"crops, agricultural"
NULL,"growth"
NULL,"special issue reviews"
NULL,"gravitropism"
NULL,"genome-wide association studies (gwas)"
NULL,"development"
NULL,"sorptionstrengthzinc"
NULL,"physiological"
NULL,"root-system architecture"
NULL,"plant biology & botany"
NULL,"plant science"
NULL,"stress"
NULL,"genetics"
NULL,"climate-change"
NULL,"cell biology"
NULL,"leaf hydraulic conductance"
NULL,"enables drought escape"
NULL,"flowering-locus-t"
NULL,"arabidopsis-thaliana"
NULL,"biochemistry and cell biology"
NULL,"water-use efficiency"
NULL,"proline dehydrogenase contributes"
NULL,"focus on climate change and plant abiotic stress"
NULL,"sorption-strength-for-heavy-metals"
NULL,"glycosylation"
NULL,"breakthrough report"
NULL,"sodium chloride"
NULL,"arabinose"
NULL,"cell wall"
NULL,"exostosin glycosyltransferase family"
NULL,"glycoproteins"
NULL,"sorptionstrengthmercury"
NULL,"sorptionstrengthheavymetals"
NULL,"catharanthus roseus"
NULL,"receptor-like kinase 1 like"
NULL,"pectin modifications"
NULL,"cell wall integrity"
NULL,"salt stress responses"
NULL,"plant cell wall signaling"
NULL,"pectins"
NULL,"wasserdurchlässigkeit"
NULL,"biocontrôle"
NULL,"a. thaliana"
NULL,"phytocytokines"
NULL,"[sdv.gen] life sciences [q-bio]/genetics"
NULL,"reactive oxygen species"
NULL,"kmetijska praksa"
NULL,"land management; visual assessment; soil quality; agricultural management practice; organic farming; integrated farming"
NULL,"visual assessment"
NULL,"organsko kmetijstvo"
NULL,"sonaravno kmetijstvo"
NULL,"trajnostno kmetijstvo"
NULL,"integrirana pridelava"
NULL,"agricultural management practice"
NULL,"organic farming"
NULL,"vizualna ocena"
NULL,"integrated farming"
NULL,"kakovost tal"
NULL,"upravljanje zemljišč"
NULL,"info:eu-repo/classification/udc/631.4"
NULL,"interoperabel"
NULL,"gesättigte-wasserleitfähigkeit"
NULL,"bodenphysik"
NULL,"produccion animal"
NULL,"mediterranean climate"
NULL,"sdg 12 - responsible consumption and production"
NULL,"wfs"
NULL,"turnover"
NULL,"earth observation"
NULL,"soil monitoring"
NULL,"geothermal-collector"
NULL,"9. industry and infrastructure"
NULL,"geothermalareademand"
NULL,"wärmeleitfähigkeit"
NULL,"d6.13"
NULL,"quality"
NULL,"olive grove"
NULL,"olive oil"
NULL,"ground-source-heat-pump"
NULL,"it"
NULL,"erdwärmekollekoren"
NULL,"top earners"
NULL,"inequality"
NULL,"ddc:330"
NULL,"top incomes"
NULL,"earnings"
NULL,"d91"
NULL,"h21"
NULL,"j31"
NULL,"d31"
NULL,"05 social sciences"
NULL,"0502 economics and business"
NULL,"1. no poverty"
NULL,"8. economic growth"
NULL,"archive data"
NULL,"pandemics"
NULL,"influenza"
NULL,"covid-19"
NULL,"outbreak risk"
NULL,"flächenbedarf"
"http://publications.europa.eu/resource/authority/data-theme/TECH",NULL
NULL,"nl"
NULL,"lamp; isothermal method; nucleic acids; detection of pathogenic microorganisms; food safety; food security; field detection"
"http://publications.europa.eu/resource/authority/data-theme/AGRI",NULL
NULL,"retentionen"
NULL,"human impact"
NULL,"bodengeothermie"
NULL,"aging"
NULL,"3801 applied economics"
NULL,"38 economics"
NULL,"behavioral and social science"
NULL,"labor supply ; pensions ; retirement"
NULL,"generic health relevance"
NULL,"basic behavioral and social science"
NULL,"35 commerce, management, tourism and services"
NULL,"bodengeothermie-im-land-brandenburg"
NULL,"deliverable"
"http://publications.europa.eu/resource/authority/data-theme/ENVI",NULL
NULL,"klasifikacija staništa"
NULL,"topsoil"
NULL,"nitrogen losses"
NULL,"plant–soil interactions"
NULL,"fertilizer"
NULL,"nitrogen cycling"
NULL,"plant traits"
NULL,"[sdv.bv]life sciences [q-bio]/vegetal biology"
NULL,"plant mixtures"
NULL,"[sdv.bv] life sciences [q-bio]/vegetal biology"
NULL,"functional traits"
NULL,"plant-soil interactions"
NULL,"lithologyvalue"
NULL,"air pollutants"
NULL,"poaceae"
NULL,"species specificity"
NULL,"plant-microbe interactions"
NULL,"bodenarten-oberboden-brandenburg"
NULL,"5. gender equality"
NULL,"sf1-1100"
NULL,"animal culture"
NULL,"pastoral resilience"
NULL,"sufi mysticism"
NULL,"ignp canal"
NULL,"bikaner"
NULL,"način korišćenja zemljišta"
NULL,"standardised mean difference"
NULL,"landwirtschaftliches-ertragspotenzial-des-landes-brandenburg"
NULL,"kennwerte-der-wasserbindung-brandenburg"
NULL,"effective-root-zone"
NULL,"plant community"
NULL,"national"
NULL,"resistance"
NULL,"recovery"
NULL,"extreme weather event"
NULL,"resource economic spectrum"
NULL,"plan_s-compliant_ta"
NULL,"methane emissions"
NULL,"plan_s-compliant-ta"
NULL,"nitrous oxide emissions"
NULL,"intensively managed grassland"
NULL,"plant functional traits"
NULL,"feo"
NULL,"syken-kansallisella-rajapinnalla"
NULL,"paikkatietoaineisto"
NULL,"ei-inspire"
NULL,"ga"
NULL,"geoenergia"
NULL,"energy-sources"
NULL,"geoenergy"
NULL,"energia"
NULL,"maaperä"
"http://publications.europa.eu/resource/authority/data-theme/EDUC",NULL
NULL,"stagnant-water"
NULL,"ground-water"
NULL,"non-lavorazione"
NULL,"dndc model"
NULL,"colture di copertura"
NULL,"modello dndc"
NULL,"emissioni n2o"
NULL,"computational economics"
NULL,"central banks"
NULL,"quantum physics"
NULL,"computer science - cryptography and security"
NULL,"general economics (econ.gn)"
NULL,"money"
NULL,"fos: physical sciences"
NULL,"c60"
NULL,"c50"
NULL,"e50"
NULL,"quantum computing"
NULL,"econometrics"
NULL,"e40"
NULL,"quantum physics (quant-ph)"
NULL,"cryptography and security (cs.cr)"
NULL,"economics - general economics"
NULL,"syrphid flies"
NULL,"начин коришћења земљишта"
NULL,"durchlässigkeit"
NULL,"ortomozaik"
NULL,"класификација станишта"
NULL,"беспилотнa летелицa"
NULL,"wind-erosion"
NULL,"regional"
NULL,"gefährdungsstufen"
NULL,"bodenerosionsgefährdung"
NULL,"interoperable-daten"
NULL,"winderosionrisktopsoil"
NULL,"wassererosion"
NULL,"watererosionrisktopsoil"
NULL,"bodenerosionsgefährdung-durch-wind-in-brandenburg"
NULL,"habitat classification"
NULL,"bespilotna letelica"
NULL,"sirfide"
NULL,"човеков утицај"
NULL,"mineral"
NULL,"wasser"
NULL,"organisch"
NULL,"moorboden"
NULL,"moorgley"
NULL,"ökologie"
NULL,"hochmoor"
NULL,"substrate"
NULL,"hydrologie"
NULL,"čovekov uticaj"
NULL,"ортомозаик"
NULL,"soilplot"
NULL,"bodengeologie"
NULL,"сирфиде"
NULL,"subsoil"
NULL,"kartta"
NULL,"map"
NULL,"risk mitigation"
NULL,"feuchtgebiet"
NULL,"rail vehicles"
NULL,"niedermoor"
NULL,"draw gear"
NULL,"safety"
NULL,"failure analysis"
NULL,"leggi"
NULL,"calabria"
NULL,"regione"
NULL,"regi"
NULL,"hintergrundgehalte"
NULL,"bodenbelastungskataster"
NULL,"90.-perzentil"
NULL,"terenska detekcija"
NULL,"quecksilber"
NULL,"ag_geoinformation"
NULL,"gesamtgehalt"
NULL,"kobalt"
NULL,"sgd_geochemie"
NULL,"mittelerer-gesamtgehalt"
NULL,"blei"
NULL,"lgb"
NULL,"sars-cov-2"
NULL,"izotermalna amplifikacija"
NULL,"point-of-care detection"
NULL,"chrom"
NULL,"aflatoxin b1"
NULL,"cold pressed blackberry cake"
NULL,"nitrat"
NULL,"wcs"
NULL,"sickerwasser"
NULL,"nitrataustrag"
NULL,"infocoverageaccessservice"
NULL,"textural analysis"
NULL,"rheinland-pfalz"
NULL,"nickel"
NULL,"hintergrundwerte"
NULL,"surface characterization"
NULL,"metal ions removal"
NULL,"vernässungsverhältnisse"
NULL,"rmqs"
NULL,"surveillance des sols"
NULL,"kohlenstoff"
NULL,"organiccarbonstock"
NULL,"organic-carbon-stock"
NULL,"kohlenstoffvorräte"
NULL,"matter"
NULL,"honey bees"
NULL,"aflatoxins"
NULL,"risk"
NULL,"highvaluedataset"
NULL,"agrifood"
NULL,"capsella"
NULL,"compost-calculator"
NULL,"soil-scans"
NULL,"ignition"
NULL,"laboratory"
NULL,"fire"
NULL,"water content, soil"
NULL,"derived variable"
NULL,"greenhouse gas emissions"
NULL,"co2"
NULL,"alley cropping"
NULL,"iuss"
NULL,"hwsd"
NULL,"fao"
NULL,"tropical soils"
NULL,"mass-preserving spline"
NULL,"model benchmarking"
NULL,"two-pool model"
NULL,"climate; mass-preserving spline; model benchmarking; one-pool model; radiocarbon; soil mineralogy; tropical soils; two-pool model"
NULL,"panoply"
NULL,"004"
NULL,"chemie"
NULL,"tree roots"
NULL,"d13c"
NULL,"storage dynamics"
NULL,"nonstructural carbohydrates"
NULL,"radiocarbon (14c)"
NULL,"environmental management"
NULL,"environmental science and management"
NULL,"agronomy & agriculture"
NULL,"ddc:631.4"
NULL,"ensure availability and sustainable management of water and sanitation for all"
NULL,"ensure sustainable consumption and production patterns"
NULL,"solid phase extraction"
NULL,"suspect screening"
NULL,"wastewater"
NULL,"mass spectrometry"
NULL,"make cities and human settlements inclusive, safe, resilient and sustainable"
NULL,"build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation"
NULL,"pollution footprint"
NULL,"ensure healthy lives and promote well-being for all at all ages"
NULL,"chromatography, liquid"
NULL,"geochemistry"
NULL,"transit time"
NULL,"radiocarbon; soil carbon; soil modeling; carbon sequestration; transit time; soilr"
NULL,"populus"
NULL,"amendments"
NULL,"heavy metals"
NULL,"brassica juncea,"
NULL,"brassica juncea"
NULL,"lablab purpureus"
NULL,"drinking water/analysis"
NULL,"wastewater/analysis"
NULL,"lc-ms/ms"
NULL,"landfill leachate"
NULL,"de"
NULL,"soil modeling ; article ; soil carbon ; carbon sequestration ; soilr ; transit time ; radiocarbon"
NULL,"other chemical sciences"
NULL,"time scales"
NULL,"soil models"
NULL,"climate change impacts and adaptation"
NULL,"biogeochemical cycling"
NULL,"carbohydrate metabolism"
NULL,"water pollution"
NULL,"emerging pollutants"
NULL,"hazardous substances"
NULL,"danube"
NULL,"carbon radioisotopes"
NULL,"dbt"
NULL,"cellulose"
NULL,"opendata"
NULL,"db5k"
NULL,"contorno"
NULL,"assimilation"
NULL,"subsurface"
NULL,"civil engineering"
NULL,"c cycling"
NULL,"plfa"
NULL,"microbial function"
NULL,"leaf waxes"
NULL,"reservoir age effect"
NULL,"hplc"
NULL,"amianto"
NULL,"pollino"
NULL,"compound-specific radiocarbon analysis"
NULL,"promisces"
NULL,"h2020 promisces"
NULL,"deliverable d2.3"
NULL,"advanced land modeling"
NULL,"3706 geophysics (for-2020)"
NULL,"eeo"
NULL,"acoustics. sound"
NULL,"qc221-246"
NULL,"frequency"
NULL,"remova"
NULL,"pfos"
NULL,"original research article"
NULL,"removal"
NULL,"original paper"
NULL,"magnetic biochar"
NULL,"pfas remediation"
NULL,"density functional theory (dft)"
NULL,"perfluorooctanoic acid"
NULL,"perfluorooctanesulphonic acid"
NULL,"poly-fluoroalkyl substances"
NULL,"regionalized pathway analysis"
NULL,"per and polyfluorinated substances"
NULL,"other"
NULL,"emission model"
NULL,"catchment"
NULL,"more model"
NULL,"per- and polyfluorinated substances"
NULL,"statistical analysis"
NULL,"0404 geophysics (for)"
NULL,"nocciole"
NULL,"soil carbon, agriculture, land use, brazil, tropical forest, isotopes"
NULL,"pfoa"
NULL,"plasma, landfill leachate, toxicity, e. coli, pfoa"
NULL,"inventario"
NULL,"immobili"
NULL,"biomass (ecology)"
NULL,"microbial population biology"
NULL,"plant litter"
NULL,"pedometrics"
"http://publications.europa.eu/resource/authority/data-theme/JUST",NULL
"http://publications.europa.eu/resource/authority/data-theme/HEAL",NULL
NULL,"soc pools"
NULL,"ta415"
NULL,"water cycle"
NULL,"germination tests"
NULL,"organic compounds"
NULL,"climate research"
NULL,"plasma treatment"
NULL,"quantitative structure-activity relationship"
NULL,"prediction"
NULL,"ecotoxicology"
NULL,"lc50"
NULL,"aquatic toxicity"
NULL,"microwave plasma"
NULL,"en"
NULL,"bioremedation"
NULL,"groundwater/chemistry"
NULL,"emission modelling"
NULL,"surface water management"
NULL,"per- and polyfluorinated substances (pfas)"
NULL,"environmental transport modelling"
NULL,"surface water"
NULL,"environmental fate modelling"
NULL,"groundwater endangering"
NULL,"igeo"
NULL,"zonas-de-gestao-restricao-regulamentacao-e-unidades-de-referencia"
NULL,"parcelas-cadastrais"
NULL,"nacional"
NULL,"agricultura-pesca-pecuaria"
NULL,"cwa"
NULL,"green deal"
NULL,"sostenibilita'"
NULL,"economia circolare"
NULL,"standardization"
NULL,"d7.6"
NULL,"ocupacao-do-solo"
NULL,"dgadr"
NULL,"proximal soil sensors"
NULL,"inorganic chemistry"
NULL,"chemical sciences not elsewhere classified"
NULL,"fos: chemical sciences"
NULL,"information systems not elsewhere classified"
NULL,"biological sciences not elsewhere classified"
NULL,"mathematical sciences not elsewhere classified"
NULL,"soiltexturegroup"
NULL,"konzeptbodenkarte"
NULL,"flächenbodenform"
NULL,"transport"
NULL,"more"
NULL,"water solubility"
NULL,"applicability domain (ad)"
NULL,"asteraceae"
NULL,"solubility"
NULL,"qspr"
NULL,"cosmo-rs"
NULL,"combustion ion chromatography"
NULL,"organic fluorine"
NULL,"chemical analysis"
NULL,"analysis"
NULL,"bodenschätzung"
NULL,"data management"
NULL,"genese"
NULL,"konzeptkarte"
NULL,"bodengesellschaft"
NULL,"frx"
NULL,"k-factor"
NULL,"mir"
NULL,"nir"
NULL,"envi"
NULL,"kick-off meeting"
NULL,"agricultural ecology"
NULL,"chemistry, agricultural"
NULL,"mediterranean area"
NULL,"d5.1"
NULL,"model performance and uncertainty"
NULL,"[math.math-sg] mathematics [math]/symplectic geometry [math.sg]"
NULL,"globalsoilmap"
NULL,"predictive models"
NULL,"[info.info-mo] computer science [cs]/modeling and simulation"
NULL,"biogeochemistry"
NULL,"14. life underwater"
NULL,"minerals"
NULL,"tropical forest"
NULL,"geophysics"
NULL,"brazil"
NULL,"research articles"
NULL,"earth system models"
NULL,"gc1-1581"
NULL,"dynamical systems"
NULL,"oceanography"
NULL,"compartmental systems"
NULL,"gb3-5030"
NULL,"radiocarbon"
NULL,"model diagnostics"
NULL,"carbon cycle models"
NULL,"3701 atmospheric sciences (for-2020)"
NULL,"3704 geoinformatics (for-2020)"
NULL,"bioengineering"
NULL,"0401 atmospheric sciences (for)"
NULL,"atmospheric sciences"
NULL,"37 earth sciences (for-2020)"
NULL,"geoinformatics"
NULL,"15 life on land (sdg)"
NULL,"subtropical"
