Label,Count,Remarks
autoregressive with exogenous inputs,2,
gaussian process regression,2,
"sheep, domestic",2,
cross-over studies,2,
electroactive bacteria,2,
metland®,2,
co2 enrichment,2,
engrais organique,2,
litter traits,2,
soil c balance,2,
london,2,
trifolium,2,
olea europaea,2,
meteorological concepts,2,
"models, genetic",2,
dryland farming,2,
labile carbon,2,
venezuela,2,
plantation forestière,2,
robinia pseudoacacia,2,
culture en couloirs,2,
raw data for diffuse contamination,2,
process chemistry and technology,2,
filled pore-space,2,
soil models,2,
aquamaps_analyses,2,
climate model,2,
fos: economics and business,2,
[sdv.sa.agro] life sciences [q-bio]/agricultural sciences/agronomy,2,
"[sdv.ee.bio]life sciences [q-bio]/ecology, environment/bioclimatology",2,
formaldehyde,2,
missouri,2,
megan,2,
gleam,2,
aridity,2,
spatial and temporal trends,2,
arctique,2,
baseline,2,
physiography,2,
water-stress,2,
vdp::landbruks- og fiskerifag: 900,2,
nitrogen policy,2,
ammonia emissions,2,
nitrogen management,2,
soil co2 flux,2,
semiarid,2,
soybean,2,
darkness,2,
roles,2,
vegetation monitoring,2,
statistics,2,
remote sensing in vegetation monitoring and phenology,2,
soil erosion and agricultural sustainability,2,
telecommunications,2,
synthetic aperture radar interferometry,2,
paleontology,2,
surface deformation monitoring,2,
bbf,2,
engrxiv|engineering|other engineering,2,
virtual sensing,2,
wake,2,
bepress|engineering|other engineering,2,
trade-offs,2,
pine bark,2,
bio-based activated carbon,2,
tomografia,2,
forage,2,
csp,2,
compactação do solo,2,
plantio direto.,2,
no-tillage system,2,
experimental organism systems,2,
aspect,2,
shift,2,
climate-change manipulations,2,
plant-communities,2,
soil bacterial community,2,
dryland,2,
annual estimates,2,
countries and territories,2,
drosa-activity data,2,
drose-ghg-organic soils,2,
drose-emissions,2,
drainage for agriculture,2,
hih-ghg,2,
statistics division environment,2,
development and impacts of bioenergy crops,2,
biochar application,2,
water-vapor,2,
fumigation-extraction,2,
hydrography and water resources,2,
ice,2,
labour,2,
c-13 natural abundance,2,
analyse isotopique,2,
stock organique,2,
ashes,2,
incineration,2,
lunar soil,2,
lcsh:environmental technology. sanitary engineering,2,
lcsh:geography. anthropology. recreation,2,
programming language,2,
hydrological modeling and water resource management,2,
lcsh:td1-1066,2,
global flood risk assessment and management,2,
lcsh:g,2,
deforestation (computer science),2,
global drought monitoring and assessment,2,
organic fractions,2,
tagged nitrogen,2,
bodemfysica en landbeheer,2,
soil physics and land management,2,
ghg,2,
assimilation,2,
land-surface,2,
edetic acid,2,
saline soils,2,
alkaline phosphatase,2,
fish,2,
environmental pollutants in the arctic,2,
miljøgifter i arktis,2,
alginate,2,
fe2o3,2,
volatilização de amônia,2,
okavango river basin,2,
dominant soils,2,
poverty,2,
fao,2,
lccs-seea,2,
nrl,2,
land and water,2,
2511.08 mecánica de suelos (agricultura),2,
glcn,2,
rural settlement,2,
cultural weed control,2,
p05 - ressources énergétiques et leur gestion,2,
énergie renouvelable,2,
political and economic frameworks,2,
source d'énergie,2,
politique énergétique,2,
pollution par l'agriculture,2,
global climate-change,2,
cmip5,2,
european j soil science,2,
bio-crude,2,
/dk/atira/pure/sustainabledevelopmentgoals/clean_water_and_sanitation; name=sdg 6 - clean water and sanitation,2,
permafrost degradation,2,
betula nana,2,
deficit irrigation,2,
semi-arid areas,2,
development,2,
bio-economy,2,
horticulture,2,
isomerism,2,
qd,2,
soc stock rates,2,
drainage water,2,
dem,2,
google earth engine,2,
hybrid poplar,2,
bog,2,
peatlands,2,
burkina,2,
host-parasite interactions,2,
carbono orgânico total,2,
142-005 142-005,2,
ddc:500,2,
traits,2,
leucine amino peptidases,2,
terpene,2,
organic nitrogen,2,
maize cropping,2,
[ sde.mcg ] environmental sciences/global changes,2,
olive,2,
fuel ethanol,2,
trace element contaminated soil,2,
leonardite,2,
biosolid compost,2,
sustainable farming,2,
nmr spectroscopy,2,
delayed-action preparations,2,
autonomous navigation,2,
antibiotic resistant bacteria,2,
multilocus sequence typing,2,
madhya pradesh,2,
critical infrastructures,2,
built asset management,2,
farm sustainability,2,
full inversion tillage,2,
"crescendo, marie skłodowska-curie action, peatlands, peat samples, peat thickness, norway, bogs, airborne electromagnetics, skytem, organic carbon content, carbon pool",2,
north-east thailand,2,
methane emission,2,
timber harvesting,2,
environmental science and management,2,
jel:q,2,
jel:q0,2,
jel:q2,2,
jel:q3,2,
jel:q5,2,
jel:o13,2,
021001 nanoscience & nanotechnology,2,
quantitative trait loci,2,
qh426-470,2,
quercus ilex,2,
q(10),2,
rdms,2,
power,2,
dust,2,
target rocks,2,
glasses,2,
farm inputs,2,
localization,2,
health sciences,2,
ricinus communis,2,
crude protein,2,
biological systematics,2,
clustering,2,
rotational grazing,2,
ecological groups,2,
"fos: electrical engineering, electronic engineering, information engineering",2,
aggregate strength,2,
habitat heterogeneity,2,
bioassays,2,
macro-detritivores,2,
anaerobic fungi,2,
dairy calf,2,
microbiome manipulation,2,
ciliate protozoa,2,
irrigation scheduling,2,
rewetting,2,
earth and related environmental sciences,2,
[chim.anal]chemical sciences/analytical chemistry,2,
proanthocyanidins,2,
monoterpenes,2,
dna-sip,2,
juniperus,2,
pratylenchidae,2,
endogeic species,2,
musa acuminata,2,
promotion,2,
drought stress,2,
propanols,2,
"pigments, biological",2,
"microscopy, fluorescence",2,
mesophyll cells,2,
semis direct,2,
shannon index,2,
smallholders,2,
novel environments,2,
ecosystem management,2,
eliömaantiede,2,
kefiranofaciens,2,
kefiri,2,
probiotic,2,
kefir,2,
vdp::humanities: 000::archeology: 090,2,
vdp::humaniora: 000::arkeologi: 090,2,
brachiaria brizantha,2,
amazon rain forest,2,
floresta amazônica,2,
natural fillers,2,
bovin,2,
linseed,2,
surface temperature,2,
aquatic and soil organisms,2,
nanoecotoxicity,2,
nanometrology,2,
nanostructures,2,
520,2,
illinois,2,
urban biogenic carbon dioxide flux,2,
savannah,2,
pharmaceutical preparations,2,
constructed wetlands,2,
particulate organic matter (pom),2,
biometry,2,
primary research article,2,
century model,2,
bodem,2,
bodemgebruik,2,
bodemstructuur,2,
power-law,2,
non-newtonian fluids,2,
discrete korn inequality,2,
[math.math-na]mathematics [math]/numerical analysis [math.na],2,
hybrid high-order methods,2,
verwerkte data,2,
processed data,2,
chp,2,
numerical weather prediction,2,
ground improvement,2,
magnetic resonance spectroscopy,2,
sdg 13 – maßnahmen zum klimaschutz,2,
subtropics,2,
piliostigma reticulatum,2,
ddc:540,2,
caenorhabditis elegans,2,
correlation,2,
volatiles,2,
silicate melts,2,
tin,2,
phaseolus vulgaris,2,
s index,2,
semiarid soils,2,
direct drilling,2,
microbial abundance,2,
beta-fructofuranosidase,2,
alnus,2,
n2o fluxes,2,
ch4 fluxes,2,
soil organic phosphorus,2,
eucalyptus tereticornis,2,
ndvi data,2,
substrate overloading,2,
influent/effluent uncoupling,2,
sahel,2,
visible and near infrared spectroscopy,2,
juglans regia,2,
triticum turgidum,2,
aggregate-associated organic carbon,2,
long-fallowing,2,
flore microbienne,2,
modèle mathématique,2,
hares lepus-europaeus,2,
internet,2,
binding sites,2,
benchmarking,2,
cyclopentanes,2,
oxylipins,2,
salicylic acid,2,
disease resistance,2,
workflow,2,
evolutionsbiologi,2,
wp6,2,
plant species richness,2,
vegetation biomass,2,
plant nutrient uptake and signaling pathways,2,
corrigenda,2,
heterotroph,2,
natural vegetation,2,
pesticide,2,
annual plants,2,
growth (plants),2,
pesticide residues,2,
glomeromycota,2,
finite element analysis,2,
marsh succession,2,
surface elevation change,2,
surface elevation,2,
coastal wetlands,2,
productivity gradient,2,
tidal marsh,2,
ftir,2,
biofumigation,2,
inibidores de urease,2,
lixiviação,2,
rice water management and productivity enhancement,2,
nitrogen use efficiency,2,
millet,2,
potatoes,2,
carbon budget,2,
alternate wetting and drying,2,
ontario,2,
ericaceae,2,
clustered regularly interspaced short palindromic repeats,2,
crispr-cas systems,2,
pectins,2,
pedogenic threshold,2,
surface-energy balance,2,
puerto rico,2,
beef cattle,2,
cell envelope,2,
cell wall,2,
viability,2,
fragaria,2,
viral plaque assay,2,
flow cytometry,2,
pinus-taeda,2,
public policy,2,
plastic waste,2,
life-cycle analysis,2,
navadna bukev,2,
kambij,2,
dob,2,
navadna breza,2,
listavci,2,
radial growth,2,
water-vapor fluxes,2,
organic matter dynamics,2,
management of soil fertility and crop productivity,2,
aporte de carbono,2,
"computational engineering, finance, and science (cs.ce)",2,
"computer science - computational engineering, finance, and science",2,
carbono microbiano,2,
raphanus,2,
calcium chloride,2,
proteomics,2,
n-2 fixation,2,
alien plants,2,
enterococcus,2,
leerstoelgroep technologie en agrarische ontwikkeling,2,
technology and agrarian development,2,
microaggregate formation,2,
inversion,2,
induced chlorophyll fluorescence,2,
wheat-soybean-fallow,2,
polyesters,2,
biocompatible materials,2,
0205 materials engineering,2,
matrice polymérique,2,
fluorides,2,
crop water requirements,2,
bio-based materials,2,
eco-design,2,
suelo,2,
cycle de l'azote,2,
//purl.org/becyt/ford/1 [https],2,
cycling,2,
stable isotope analysis,2,
//purl.org/becyt/ford/1.6 [https],2,
agregação,2,
fragility,2,
poly(3-hydroxybutyrate-co-3-hydroxyvalerate),2,
wheat bran,2,
1000 multidisciplinary,2,
chondrules,2,
ddc:no,2,
carbonaceous chondrites,2,
pyrogenic organic matter,2,
water transfer,2,
nitrate-contaminated groundwater,2,
nitrogen removal,2,
perspective,2,
shotgun sequencing,2,
alcoholic fermentation,2,
animal behavior,2,
energy efficiency,2,
meat,2,
food processing environment,2,
listeria monocytogenes,2,
plasmids,2,
n stock,2,
c stocks,2,
legume crops,2,
energy industries. energy policy. fuel trade,2,
lignocellulose,2,
hd9502-9502.5,2,
protocol,2,
sheep manure,2,
[info.info-mo] computer science [cs]/modeling and simulation,2,
landraces,2,
gnss meteorology,2,
/dk/atira/pure/core/keywords/559922418,2,
qh301 biology,2,
drug interactions,2,
tomato wild relatives,2,
sustainable development goals,2,
regional case-studies,2,
experimental design,2,
proline,2,
pollen viability,2,
glycine betaine,2,
tp,2,
engrxiv|engineering|civil and environmental engineering|civil engineering,2,
xanthan gum,2,
bepress|engineering|civil and environmental engineering|civil engineering,2,
mais,2,
matiere organique,2,
snails,2,
transcriptome,2,
ecology/global change ecology,2,
ecology/ecosystem ecology,2,
agricultural circularity,2,
manure processing,2,
β-diversity,2,
glacier retreat,2,
ta1181,2,
southern finland,2,
"engineering, civil",2,
transient gas,2,
civil,2,
particle emissions,2,
environmental sciences related to agriculture and land-use,2,
550 earth sciences &amp; geology,2,
550 earth sciences & geology,2,
reptiles,2,
colonization,2,
colonisation,2,
upland forests,2,
wetland forests,2,
tree stems,2,
plant microbiome,2,
biological evolution,2,
"ecological systems, closed",2,
life support systems,2,
functional properties,2,
621,2,
dry fractionation,2,
earthquake clustering,2,
aftershocks,2,
agriculture forestry and fisheries,2,
data assimilation system,2,
earthworm activity,2,
"cloning, molecular",2,
expression des gènes,2,
horizon 2020 framework programme,2,
managed realignment,2,
tropical terrestrial carbon cycle,2,
simulations,2,
sdgs,2,
spectral indices,2,
sar,2,
agroecosystem,2,
greece,2,
dna fingerprinting,2,
rhizobium,2,
dry forests,2,
biomass burning,2,
bioelectricity,2,
fire radiative energy,2,
synergies,2,
integration,2,
organizational level,2,
high-precision measurements,2,
maaperäeliöstö,2,
topsoil development,2,
climate sensitivity,2,
latent heat,2,
onion,2,
andosols,2,
"statistics, nonparametric",2,
plfas,2,
tartrate esters,2,
cinnamoyl esterase,2,
hydroxycinnamic acids,2,
british columbia,2,
brewer’s yeast,2,
yeast β-glucans,2,
food applications,2,
scavenging activity,2,
ectomycorrhiza,2,
biotic interactions,2,
feasibility,2,
species interactions,2,
temporal dynamics,2,
exafs,2,
science policy,2,
vdp::mathematics and natural science: 400::geosciences: 450,2,
vdp::teknologi: 500,2,
vdp::matematikk og naturvitenskap: 400::geofag: 450,2,
rice paddy,2,
isotopic fractionation,2,
malt culm/s,2,
barley rootlets,2,
malt sprouts,2,
malt rootlets,2,
ppo arable farming,2,
multifunctional agriculture and field production of vegetables,2,
gradient gel-electrophoresis,2,
groene ruimte en vollegrondsgroente,2,
ppo akkerbouw,2,
daucus carota,2,
mustard plant,2,
[sdu.stu.gp]sciences of the universe [physics]/earth sciences/geophysics [physics.geo-ph],2,
drying-rewetting frequency,2,
catabolic diversity,2,
drought impacts,2,
plant biology & botany,2,
standardized precipitation index,2,
07 agricultural and veterinary sciences,2,
earthquake,2,
high-pressure,2,
physics - physics and society,2,
612,2,
physics and society (physics.soc-ph),2,
leachate,2,
arecaceae,2,
costs,2,
steppe,2,
[spi.signal] engineering sciences [physics]/signal and image processing,2,
chloroplasts,2,
plant biochemistry,2,
aqueous phase recirculation,2,
alkali catalyst,2,
food ingredient,2,
barley protein,2,
brewing waste,2,
bioplastic,2,
multi-criteria decision assessment,2,
co2 efflux,2,
vapor-pressure deficit,2,
tropical rain-forest,2,
erica multiflora,2,
nue,2,
globularia alypum,2,
trace metals,2,
toxicology,2,
combined stressors,2,
surface-active agents,2,
hydrodynamic cavitation,2,
lipids,2,
dopc,2,
liposomes,2,
hidrodinamska kavitacija,2,
water efficiency,2,
mehurčki,2,
egg-production systems,2,
animal production systems,2,
dierlijke productiesystemen,2,
ocean island basalts,2,
bulk silicate earth,2,
"databases, genetic",2,
life style,2,
artemisia,2,
fire severity,2,
antarctic regions,2,
500 naturwissenschaften und mathematik::500 naturwissenschaften::500 naturwissenschaften und mathematik,2,
extended fruit shelf-life,2,
fruit quality traits,2,
bubbles,2,
physical chemistry,2,
infrared,2,
artificial intelligence,2,
microchannel,2,
ecosystem ecology - original paper,2,
nature reserves,2,
agricultura biodinâmica,2,
619,2,
fungal ecology,2,
triazines,2,
soil enzyme activities,2,
nir spectroscopy,2,
megarich project,2,
testate amoebae,2,
host-pathogen interactions,2,
multi-spectral,2,
multispectral,2,
deep-learning,2,
[sdv.sa.sta]life sciences [q-bio]/agricultural sciences/sciences and technics of agriculture,2,
image,2,
vegetation segmentation,2,
bio-energy,2,
scots pine forest,2,
inner mongolia,2,
leaf economics spectrum,2,
landscape archaeology,2,
nitrous oxide emission,2,
interannual variation,2,
photolysis,2,
consumer choices,2,
total silver concentration,2,
translocation,2,
retention,2,
oxidative dechlorination,2,
ecosystem-atmosphere interactions,2,
autumn,2,
oenococcus,2,
kaolinite,2,
stylosanthes,2,
mechanical engineering,2,
computer science applications,2,
bdc,2,
richness,2,
intermediate disturbance,2,
intermediate disturbance hypothesis,2,
tillage system,2,
pha,2,
[phys.astr.co]physics [physics]/astrophysics [astro-ph]/cosmology and extra-galactic astrophysics [astro-ph.co],2,
ozonation,2,
phytotoxicity,2,
"structural engineering, civil engineering",2,
"engenharia estrutural, engenharia civil",2,
onderzoek,2,
470,2,
miscanthus sinensis,2,
circular city,2,
spacecraft,2,
toxicology and mutagenesis,2,
fruits,2,
feed safety,2,
dietary proteins,2,
nitrogen radioisotopes,2,
membrane filtration,2,
water reuse,2,
free extracellular dna,2,
manipulation,2,
kuivatislaus,2,
huokoisuus,2,
mechanics of materials,2,
inorganic chemicals,2,
bank filtration,2,
télédétection,2,
fungos micorrízicos arbusculares,2,
agricultura sustentável,2,
solo.,2,
solidago,2,
procedure,2,
method,2,
carbonic-anhydrase activity,2,
3-dimensional synthesis,2,
model tm5,2,
dose response curve,2,
electron spin resonance (esr),2,
bromus,2,
clogging,2,
morphing,2,
satellite-based precipitation,2,
gauge data,2,
tahmo,2,
precipitation estimation,2,
field displacement,2,
clostridium,2,
clostridiales,2,
veterinary medicine,2,
sf600-1100,2,
dairy cattle,2,
bibliometrix r,2,
0509 other social sciences,2,
0305 other medical science,2,
pyrenees,2,
plant–herbivore interactions,2,
southwestern united states,2,
semi-arid region,2,
vegetation index,2,
leaf senescence,2,
bacteriophages,2,
rumen colonization,2,
protozoa,2,
pathogens,2,
prairie,2,
solos - manejo,2,
latossolos,2,
s agriculture (general),2,
maaperä,2,
multidisciplinary sciences,2,
2401.06 ecología animal,2,
science & technology - other topics,2,
ecología (biología),2,
574,2,
faecalibacterium prausnitzii,2,
dysbiosis,2,
ferrous compounds,2,
15n tracer,2,
registration,2,
precision farming,2,
multi-spectral imagery,2,
feature descriptor,2,
soil ghg fluxes,2,
ph-responsive drug delivery,2,
mesoporous silica nanoparticles,2,
controlled drug delivery,2,
cancer treatment,2,
rs1-441,2,
pharmacy and materia medica,2,
"chemistry, analytical",2,
analytical,2,
plant functional types,2,
elemental sulfur,2,
european joint doctorates,2,
brazilian cerrado,2,
nutritional physiological phenomena,2,
sustainable plasticulture,2,
plastic greenhouse,2,
remote sensing indices,2,
agro-plastics,2,
plastic footprint,2,
agricultural plastic surface,2,
agro‐plastic,2,
agricultural plastic coefficient,2,
mulching film,2,
digital atlas,2,
culture itinérante,2,
conservation des forêts,2,
soil chemistry and physics,2,
biome,2,
floral meristem,2,
fruit size,2,
methanobrevibacter,2,
immunoglobulin g,2,
c-13 natural-abundance,2,
trifluralin,2,
soil profile,2,
grain legumes,2,
clay soils,2,
accelerated aging,2,
lupin seeds,2,
evolution and nutritional properties of lupin seeds,2,
alkaloids,2,
ecotype,2,
evolution and ecology of endophyte-grass symbiosis,2,
flax,2,
essential oils,2,
agrártudományok,2,
növénytermesztési és kertészeti tudományok,2,
autotrophic processes,2,
free-air co2 enrichment (face),2,
centrifuge modelling,2,
resource,2,
farmyard manure,2,
livestock supply chains,2,
[sdu.other]sciences of the universe [physics]/other,2,
16s ribosomal-rna,2,
agaricales,2,
cover crops; crop water stress index (cwsi); spectral vegetation index; sustainable agriculture,2,
model comparison,2,
surface observations,2,
root anatomy,2,
the moon,2,
greenland,2,
rosaceae,2,
iran,2,
[info] computer science [cs],2,
crop yield forecasting,2,
remote sensing drought indices,2,
climate indices,2,
nanopore,2,
qtls dissection,2,
microrna,2,
pacbio,2,
genome-wide association studies,2,
genotyping by sequencing,2,
eucalypt,2,
particulate,2,
coloration,2,
fagus-sylvatica,2,
phloem,2,
leaf unfolding,2,
european beech,2,
<i>isoa</i>,2,
physical fractionation,2,
arbre,2,
halophyte composition,2,
iron oxides,2,
gibbsita,2,
óxidos de ferro,2,
pangenome,2,
génome,2,
séquence nucléotidique,2,
"genome, plant",2,
networks,2,
magnetic resonance imaging,2,
floresta primária,2,
french alps,2,
phosphore,2,
carbon offsets,2,
ionophores,2,
phosphorus deficiency,2,
rainforest,2,
hevea,2,
participatory research,2,
/dk/atira/pure/core/keywords/nachhaltigkeitswissenschaft,2,
convolutional neural network,2,
02110703 environmental social science concepts/systems ecology,2,
[phys.phys.phys-ao-ph]physics [physics]/physics [physics]/atmospheric and oceanic physics [physics.ao-ph],2,
acetylglucosaminidase,2,
basal area,2,
understory,2,
quantum mechanics,2,
volatile fatty acids,2,
bepress|engineering|civil and environmental engineering|environmental engineering,2,
engrxiv|engineering|civil and environmental engineering|environmental engineering,2,
bogs,2,
veenmoerassen,2,
molinia caerulea,2,
veengronden,2,
calluna-vulgaris,2,
stikstof,2,
winter-wheat,2,
legume cover crop,2,
relay intercropping,2,
catch crop,2,
dwarf shrub,2,
[sdv.bv] life sciences [q-bio]/vegetal biology,2,
forêt naturelle,2,
coronary disease,2,
young adult,2,
/dk/atira/pure/subjectarea/asjc/1100/1111,2,
/dk/atira/pure/subjectarea/asjc/1100/1110,2,
pyrenes,2,
smart water,2,
upland rice,2,
steep slopes,2,
changement d'usage des terres,2,
natural c-13 abundance,2,
chromium isotopes,2,
marine,2,
montana,2,
benefits,2,
switchgrass,2,
indirect land-use change,2,
komatiite,2,
plant-based milk substitutes,2,
protein requirement,2,
hydroponics,2,
vine shoots,2,
rotation poplar plantation,2,
vigna,2,
sf1-1100,2,
animal culture,2,
insects,2,
haie,2,
farming practices,2,
arachis,2,
tagus river basin,2,
vulnerable zones,2,
ecology and evolutionary biology,2,
soil bacteria,2,
euryarchaeota,2,
ennallistaminen,2,
turvemaat,2,
volcanic eruptions,2,
cavitation dynamics,2,
multiparametric analysis,2,
hydrodynamic cavitation pinned disc reactor,2,
waste water treatment,2,
vizualizacija,2,
flow visualization,2,
thermal weed control,2,
food preservation,2,
saccharomycetales,2,
importance of mangrove ecosystems in coastal protection,2,
03010602 bacteriology/bacteria,2,
03030602 bacteriology/bacteria,2,
quantification,2,
info:eu-repo/classification/udc/620.3,2,
dry mass,2,
biologie/milieukunde (biol),2,
priority journal,2,
pore size distribution,2,
republic of korea,2,
general science & technology,2,
theoretical,2,
alphaproteobacteria,2,
high-resolution mass spectrometry,2,
plant metabolites,2,
robinia,2,
ecological and environmental phenomena,2,
huglin index,2,
terroir,2,
mouldboard ploughing,2,
wiskundige en statistische methoden - biometris,2,
mathematical and statistical methods - biometris,2,
poplar,2,
agriculture de conservation,2,
sustainable intensification,2,
cattle manure,2,
cattle grazing,2,
forest restoration,2,
dendroecology,2,
lipid metabolism,2,
digested sewage sludge,2,
brief reports,2,
terrestrial isopod,2,
adubação,2,
irrigação,2,
adaptation aux changements climatiques,2,
helianthus annuus,2,
arbre d'ombrage,2,
soil enrichment,2,
pasture and forage crops,2,
tallgrass prairie,2,
trifolium-repens l,2,
medical and health sciences,2,
10126 department of plant and microbial biology,2,
"genes, fungal",2,
wind turbine blade,2,
gaz a effet de serre,2,
gammaproteobacteria,2,
chemical control,2,
invasive earthworms,2,
polymer optical fibre,2,
kansas,2,
experimental warming,2,
microbiology (medical),2,
grassland ecosystem,2,
alpine grassland,2,
pyrosequencing,2,
short-rotation forestry,2,
sulfato de amônio,2,
volatilização,2,
smoldering combustion,2,
indoleacetic acid,2,
great-plains,2,
crop performance,2,
casts,2,
erythrina,2,
local varieties,2,
resource economics traits,2,
markvetenskap,2,
leaf nitrogen,2,
moisture content,2,
spatio-temporal analysis,2,
biostimulant,2,
convective rainfall initiation,2,
semi-arid sahel,2,
polymer optical fiber,2,
gamma radiation,2,
fiber bragg gratings,2,
amoa,2,
aoa,2,
phosphorous,2,
tertiary treatment,2,
immobilised photocatalyst,2,
estonia,2,
geometrid moth,2,
biotic stress,2,
satellite-observations,2,
root exudate,2,
plant interactions,2,
sulfate,2,
enzyme,2,
high-resolution,2,
nutraceuticals,2,
inflammation,2,
hydroxycinnamic acid,2,
"geography, physical",2,
machine vision for weed control,2,
robotic weed control,2,
deep learning in agriculture,2,
dolomitic lime,2,
couverture du sol,2,
maize hybrids,2,
fluid-structure interaction,2,
emisija udarnih valov,2,
carbon credits,2,
créditos de carbono,2,
weed competition,2,
alpine meadow,2,
crop physiology,2,
radiation-use efficiency,2,
sequential simulation,2,
transportation,2,
info:eu-repo/classification/ddc/660,2,
ddc:660,2,
insect herbivory,2,
mountain birch,2,
leaf-area index,2,
barnacle goose,2,
grazing experiment,2,
buffer strips,2,
optimal operation of water resources systems,2,
pine plantations,2,
mountain hydrology,2,
land-use changes,2,
marine litter,2,
ferulic acid,2,
shelf-life,2,
microbiological safety,2,
low-salt meat products,2,
water activity,2,
continuous-flow dark fermentation,2,
midwestern united states,2,
sewage -- purification -- nitrogen removal,2,
aigües residuals -- depuració -- desnitrificació,2,
fiber,2,
tp155-156,2,
oil and particle removal,2,
energy-generating resources,2,
ecosystem engineers,2,
nitrous-oxide fluxes,2,
copper sulfate,2,
natural resource economics,2,
business,2,
plant–soil (below‐ground) interactions,2,
fatty acid,2,
functionality,2,
digestibility,2,
design,2,
computational engineering,2,
user needs,2,
multi-hazard apps,2,
virtual interactive workshops,2,
app content and features,2,
antifungal agents,2,
african savanna,2,
simulated rainfall,2,
marketing,2,
andropogon,2,
human experimental model,2,
neurogenic inflammation,2,
pain,2,
itch,2,
química física,2,
sodium selenite,2,
community resilience,2,
disaster management,2,
contingency planning,2,
terpenoids,2,
plant volatiles,2,
datasets as topic,2,
innovation action,2,
plant tubers,2,
bioengineering,2,
shallow landslides,2,
operational spectrum,2,
time varying autoregressive moving average (tv-arma) models,2,
data-driven framework,2,
uncertainty propagation,2,
polynomial chaos expansion (pce),2,
fertility management,2,
ph control,2,
electrochemical sensors,2,
virus detection,2,
biosensors,2,
nanosensors,2,
biogenic volatile organic compound fluxes,2,
biosphere–atmosphere interactions,2,
temperature response,2,
oxygen isotopes,2,
monte carlo method,2,
canopy water content,2,
écosystème aride,2,
livestock and human sources,2,
host specialization,2,
pampas,2,
north carolina,2,
zinc oxide,2,
paddy rice,2,
energy-biochar chain,2,
submesoscale motion,2,
fibre optics ; submesoscale motion ; research article ; stable boundary layer ; topography,2,
fibre optics,2,
aqueous phase recycling,2,
ultrasonics,2,
070,2,
calcium isotopes,2,
plasma,2,
amélioration des plantes,2,
symbiotic nitrogen fixation in legumes,2,
herbicide resistance,2,
striga hermonthica,2,
vegetable production,2,
stress-responsive microrna,2,
stomata,2,
hormone signalling,2,
after-effect of drought,2,
abscisic acid (aba),2,
solvent extraction,2,
soil amendments,2,
root-zone soil moisture,2,
aluminium saturation,2,
acid soil,2,
slaf,2,
willow tree,2,
targeted weed treatment,2,
weed mapping,2,
site specific weed management,2,
spatio-temporal models,2,
structural equation modelling,2,
land data assimilation systems,2,
cereal yield,2,
impact of climate change on forest wildfires,2,
regional assessment,2,
biomass valorization,2,
wet oxidation,2,
breeding,2,
reactor mass simulation,2,
total solids,2,
apparent concentrations,2,
complex network,2,
306,2,
coeficiente de cultivo,2,
calor latente,2,
review article,2,
extraterrestrial environment,2,
exobiology,2,
renewable feedstock,2,
mixed microbial consortia,2,
pure cultures,2,
enrichment strategy,2,
downstream processing,2,
anaerobic co-digestion,2,
poultry manure,2,
organic fraction,2,
partial saturation,2,
melon,2,
apparent viscosity,2,
undrained cyclic triaxial tests,2,
leaf-litter,2,
energy-balance closure,2,
vegetation management,2,
stump sprouts,2,
mechanization,2,
solar energy,2,
quercus robur,2,
lei int beleid - internationale handel & markten,2,
journal article,2,
endogeic earthworms,2,
ecosystem model,2,
spatial and landscape ecology,2,
temperature gradient gel electrophoresis,2,
16s ribosomal rna,2,
050207 economics,2,
non-traditional stable isotope,2,
biophysics simulations,2,
physiological ecology,2,
metapopulation dynamics,2,
ldhs,2,
0306 physical chemistry (incl. structural),2,
ionic strength,2,
"behavior, animal",2,
submeso-scale motions,2,
trace gases,2,
transform infrared-spectroscopy,2,
territory,2,
pm2.5,2,
soil strength,2,
micropollutants,2,
retention soil filter,2,
fos: medical engineering,2,
freeze-thaw,2,
reanalysis data,2,
potential mineralization,2,
ureia revestida,2,
monoterpene emissions,2,
utilization efficiency,2,
teledetección,2,
geocomputing,2,
degraded areas,2,
spontaneous regrowth,2,
microbial metabolic quotient,2,
seismic risk,2,
methanogenic archaea,2,
methanotrophic bacteria,2,
apple pomace,2,
gene library,2,
fluid–structure interaction,2,
eucalyptus grandis,2,
stochastic processes,2,
geographic mapping,2,
secondary growth phenology,2,
microtomy,2,
magnesium compounds,2,
fluvial landforms,2,
bioremediation; groundwater remediation; microbial electrochemical technologies; petroleum hydrocarbons; toluene,2,
natural capital,2,
social-ecological systems,2,
cross-study comparison,2,
structural biology,2,
reduced order model,2,
parametric modeling,2,
nonlinear dynamical systems,2,
metatranscriptomics,2,
parent bodies,2,
mannans,2,
mechanical phenomena,2,
water pollutants,2,
filamentous fungi,2,
uhi,2,
moscow,2,
suhi,2,
urban climate,2,
residual,2,
element flux,2,
earthworm ecological group,2,
exotic earthworms,2,
natural regeneration,2,
[sdu.astr.ep] sciences of the universe [physics]/astrophysics [astro-ph]/earth and planetary astrophysics [astro-ph.ep],2,
silicon isotopes,2,
morb,2,
oib,2,
settings,2,
valuation,2,
diverse farming system,2,
table grapes,2,
stand structure,2,
hydrological connectivity,2,
aigües subterrànies -- contaminació,2,
groundwater -- pollution,2,
pcr,2,
grain,2,
gene,2,
protein crop,2,
uncategorized,2,
regional data coverage,2,
materials chemistry,2,
lcsh:chemistry,2,
